Tape Size,Feeder Number,Component,Aliases,XOffset,YOffset,Height,Length,Width,Speed,Head,Relative Tape Angle,Feed Spacing,Place Component,Check Vacuum,Use Vision,Centroid Correction X,Centroid Correction Y,Manufacturer,Manufacturer Part Number,Distrubutor,Order Number
8mm,1,,,0,0,0.5,1.6,0.8,100,2,0,4,Y,Y,Y,0,0,,,,
8mm,2,,,0,0,0.5,1.6,0.8,80,1,0,4,Y,Y,Y,0,0,,,,
8mm,3,,,0,0,0.5,1.6,0.8,80,1,0,4,Y,Y,Y,0,0,,,,
8mm,4,,,0,0,0.5,1.6,0.8,80,1,0,4,Y,Y,Y,0,0,,,,
8mm,5,0.1uF-0603 25V,0.1uF-0603-CAP:0.1uF-0603:0.1uF/25V-0603,0,0,0.5,1.6,0.8,80,1,0,4,Y,Y,Y,0,0,,,,
8mm,6,4.7k-0603,,0,0,0.5,1.6,0.8,80,1,0,4,Y,Y,Y,0,0,,,,
8mm,7,10k-0603,,0,0,0.5,1.6,0.8,80,1,0,4,Y,Y,Y,0,0,,,,
8mm,8,,,0,0,0.5,1.6,0.8,80,1,0,4,Y,Y,Y,0,0,,,,
8mm,9,,,0,0,0.5,1.6,0.8,80,1,0,4,Y,Y,Y,0,0,,,,
8mm,10,2.2k-0603,,0,0,0.5,1.6,0.8,80,1,0,4,Y,Y,Y,0,0,,,,
8mm,11,,,0,0,0.5,1.6,0.8,80,1,0,4,Y,Y,Y,0,0,,,,
8mm,12,,,0,0,0.5,1.6,0.8,80,1,0,4,Y,Y,Y,0,0,,,,
8mm,13,,,0,0,0.5,1.6,0.8,80,1,0,4,Y,Y,Y,0,0,,,,
8mm,14,,,0,0,0.5,1.6,0.8,80,1,0,4,Y,Y,Y,0,0,,,,
8mm,15,,,0,0,0.5,1.6,0.8,80,1,0,4,Y,Y,Y,0,0,,,,
8mm,16,,,0,0,0.5,1.6,0.8,80,1,0,4,Y,Y,Y,0,0,,,,
8mm,17,,,0,0,0.5,1.6,0.8,100,2,0,4,Y,Y,Y,0,0,,,,
8mm,18,,,0,0,0.5,1.6,0.8,100,2,0,4,Y,Y,Y,0,0,,,,
8mm,19,,,0,0,0.5,1.6,0.8,80,1,0,4,Y,Y,Y,0,0,,,,
8mm,20,,,0,0,0.5,1.6,0.8,80,1,0,4,Y,Y,Y,0,0,,,,
8mm,21,,,0,0,0.5,1.6,0.8,100,1,0,4,Y,Y,Y,0,0,,,,
8mm,22,,,0,0,0.5,1.6,0.8,100,1,0,4,Y,Y,Y,0,0,,,,
12mm,23,,,0,0,0.5,1.6,0.8,100,2,0,4,Y,Y,Y,0,0,,,,
12mm,24,BNO080,BNO080-LGA-28,0,0,0.5,3.8,5.2,100,2,90,8,Y,Y,Y,0,0,,,,
12mm,25,,,0,0,0.5,0,0,100,2,0,,Y,Y,Y,0,0,,,,
12mm,26,,,,,,,,,,,,,,,,,,,,
16mm,27,,,,,,,,,,,,,,,,,,,,
16mm,28,,,,,,,,,,,,,,,,,,,,
24mm,29,,,0,0,0.5,0.1,0.1,0,1,0,0,Y,Y,Y,0,0,,,,
A 1-7,88,USB251XB-VQFN36,,0,0,0.5,6,6,0,2,0,0,Y,Y,Y,0,0,,,,
B 1-6,89,ATSAMD21J18A-MU-64M1,,0,0,0.5,9,9,0,2,0,0,Y,Y,Y,0,0,,,,
A 1-2,90,,,,,,,,,,,,,,,,,,,,
A 3-4,91,,,,,,,,,,,,,,,,,,,,
A 5-7,92,,,,,,,,,,,,,,,,,,,,
B 1-2,93,,,,,,,,,,,,,,,,,,,,
B 3-4,94,,,0,0,0.5,,,,,,,,,,,,,,,
B 5-6,95,,,0,0,0.5,,,,,,,,,,,,,,,
-,96,,,0,0,0.5,0,0,0,2,0,0,Y,Y,Y,0,0,,,,
-,97,,,,,,,,0,,,,,,,,,,,,
-,98,,,,,,,,0,,,,,,,,,,,,
-,99,,,0,0,0.5,5,5,0,2,0,,Y,Y,Y,0,0,,,,
Fiducial,1000,FIDUCIAL,FIDUCIALUFIDUCIAL-MICRO-FIDUCIAL,,,,,,,,,,,,,,,,,,
NoMount,0,No Mount,DNP-C0402S:DNP-R0402S,,,,,,,,,,N,,,,,,,,
Stop,,Stop,,,,,,,,,,,,,,,,,,,
